               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.04939,            0.030102,           0.0099762,             0.50855,             0.28039,              0.2145,            0.094135,            0.047101,            0.026772,           0.0096072,            0.007543,            0.007543,            0.007543
                  37,            0.048487,            0.030012,            0.010168,             0.48167,             0.33526,               0.218,            0.097812,            0.046311,             0.02655,           0.0094058,            0.007416,            0.007416,            0.007416
                  38,            0.048388,            0.030735,           0.0097318,             0.53443,             0.27349,             0.22524,             0.10427,             0.04724,            0.026534,           0.0093952,           0.0072872,           0.0072872,           0.0072872
                  39,            0.048355,            0.030577,           0.0097073,             0.49755,             0.30654,             0.23164,             0.10516,            0.046103,            0.026287,           0.0094598,           0.0071566,           0.0071566,           0.0071566
                  40,             0.04797,            0.030031,            0.010021,             0.46796,              0.3352,              0.2263,             0.10778,            0.045958,            0.026342,           0.0092698,           0.0070243,           0.0070243,           0.0070243
                  41,             0.04781,             0.02983,           0.0097514,             0.48045,             0.33877,             0.22453,              0.1004,            0.046731,            0.026481,           0.0096271,           0.0068906,           0.0068906,           0.0068906
                  42,            0.047491,            0.029665,           0.0095126,             0.49538,             0.32166,             0.23576,             0.10646,            0.045643,            0.026099,           0.0093432,           0.0067555,           0.0067555,           0.0067555
                  43,            0.047095,            0.029919,            0.009688,             0.52276,             0.32555,             0.24087,             0.11036,             0.04519,            0.025992,           0.0094922,           0.0066191,           0.0066191,           0.0066191
                  44,            0.047369,            0.029201,           0.0093533,             0.48479,             0.35819,             0.24313,             0.10985,            0.045418,            0.025919,           0.0090643,           0.0064816,           0.0064816,           0.0064816
                  45,            0.047072,            0.029796,           0.0089736,             0.50119,             0.32847,             0.24084,             0.10643,             0.04564,            0.026153,            0.009386,           0.0063432,           0.0063432,           0.0063432
                  46,            0.046476,            0.029466,           0.0093484,             0.48854,             0.35681,             0.24402,               0.112,            0.044899,            0.026166,           0.0092415,            0.006204,            0.006204,            0.006204
                  47,            0.045749,            0.029568,           0.0092471,              0.4989,             0.32804,             0.24466,             0.10912,            0.045304,             0.02594,           0.0090083,            0.006064,            0.006064,            0.006064
                  48,            0.046151,            0.029648,           0.0092045,             0.54681,             0.30442,              0.2507,             0.11479,            0.044868,            0.025913,           0.0088744,           0.0059235,           0.0059235,           0.0059235
                  49,            0.045904,            0.028858,           0.0092831,              0.5399,             0.32696,             0.25137,             0.11575,             0.04528,            0.025941,           0.0094502,           0.0057826,           0.0057826,           0.0057826
                  50,            0.045806,            0.028704,           0.0088346,              0.5268,             0.32327,             0.25329,             0.11706,            0.044774,            0.025711,           0.0092781,           0.0056413,           0.0056413,           0.0056413
                  51,            0.045115,            0.028254,           0.0088743,             0.50944,             0.33651,             0.26232,             0.12072,            0.044375,             0.02573,            0.008748,              0.0055,              0.0055,              0.0055
                  52,            0.045088,            0.029413,           0.0088469,             0.51139,             0.34346,             0.26578,             0.12239,            0.044171,            0.025551,           0.0086973,           0.0053587,           0.0053587,           0.0053587
